sample_key,type,site,analyst,mass_of_soil,total_volume,concentration,mean_abs,rsd
1,CalStd,NA,NA,NA,NA,0.1,4e-4,999.99
2,CalStd,NA,NA,NA,NA,1,0.0105,7.49
3,CalStd,NA,NA,NA,NA,2,0.0226,0.14
4,CalStd,NA,NA,NA,NA,5,0.0584,2.64
5,CalStd,NA,NA,NA,NA,10,0.1149,3.62
6,Sample,C,MRMJ,1.5009,45,NA,0.0086,7.27
7,Sample,MB,MRMJ,0,45,NA,-0.0016,6.84
8,Sample,E,ARG,1.5423,50,NA,0.0019,999.99
9,Sample,MB,ARG,0,50,NA,-0.0019,11.08
10,Sample,F,CYT,1.4935,46,NA,-6e-4,999.99
11,Sample,MB,CYT,0,46,NA,-0.0017,5.71
12,Sample,F,DJHR,1.516,43,NA,0.0017,999.99
13,Sample,QC,DJHR,1.4923,43,NA,0.0153,3.18
14,Sample,D,CAG,1.50621,50,NA,0.0033,12.15
15,Sample,QC,CAG,1.48989,50,NA,0.016,2.32
16,Sample,F,JHV,1.5063,45,NA,0.0039,10.39
17,Sample,QC,JHV,1.5236,45,NA,0.0206,3.02
18,Sample,D,SJB,1.55,45,NA,0.0029,4.69
19,Sample,QC,SJB,1.53,45,NA,0.0209,3.43
20,Sample,MB,MD,0,50,NA,-0.002,11.59
21,Sample,D,MD,1.5756,50,NA,5e-4,19.53
22,Sample,E,SEP,1.6,44,NA,0.0072,4.2
23,Sample,QC,SEP,1.0136,42.5,NA,0.0143,3.94
24,Sample,C,SGB,1.5074,44,NA,0.0188,3.5
25,Sample,MB,SGB,0,44.5,NA,-0.0024,10.59
26,Sample,C,AWB,1.5115,42.5,NA,0.0089,8.18
27,Sample,QC,AWB,1.5794,43.5,NA,0.0202,1.79
28,CalStd2,NA,NA,NA,NA,0.1,-0.0018,10.83
29,CalStd2,NA,NA,NA,NA,1,0.0096,4.23
30,CalStd2,NA,NA,NA,NA,2,0.0222,2.93
31,CalStd2,NA,NA,NA,NA,5,0.0643,3.57
32,CalStd2,NA,NA,NA,NA,10,0.1266,2.26
38,Sample,C,GB,1.5127,50,NA,0.0111,6.4
39,Sample,QC,GB,1.5554,45,NA,0.0172,2.01
40,Sample,B,AB,1.5378,50,NA,0.0049,4.45
41,Sample,B,LF,1.4587,45,NA,0.0058,1.64
42,Sample,MB,LF,0,45,NA,-5e-4,999.99
43,Sample,MB,AB,0,45,NA,-7e-4,999.99
44,Sample,QC,KAD,1.5598,50,NA,0.0247,2.39
45,Sample,B,KAD,1.54,45,NA,0.0064,2.38
46,Sample,A,LML,1.57641,43,NA,0.0102,4.06
47,Sample,QC,LML,1.54717,43,NA,0.0252,1.36
48,Sample,A,AH,1.5,43.7,NA,0.0132,4.62
49,Sample,MB,AH,0,45,NA,-0.0012,4.12
50,Sample,MB,LG,0,45.2,NA,-0.0014,999.99
51,Sample,C,LG,1.5038,45,NA,0.0027,2.04
52,Sample,B,MF,1.4581,18,NA,0.006,4.14
53,Sample,QC,MF,1.5916,22,NA,0.0249,4.56
54,Sample,A,LAK,1.5235,40,NA,0.0063,3.31
55,Sample,MB,LAK,0,45,NA,-0.001,999.99
56,Sample,A,AVM,1.5375,47,NA,0.0068,5.36
57,Sample,QC,AVM,1.5167,45,NA,0.023,3.42
58,Sample,B,SS,1.5363,42.5,NA,0.0079,2.8
59,Sample,QC,SS,1.5578,42.8,NA,0.0246,1.06
60,CalStd4,NA,NA,NA,NA,0.1,-3e-4,999.99
61,CalStd4,NA,NA,NA,NA,1,0.0123,3.82
62,CalStd4,NA,NA,NA,NA,2,0.0267,2.5
63,CalStd4,NA,NA,NA,NA,5,0.0688,2.43
64,CalStd4,NA,NA,NA,NA,10,0.1422,1.72
80,Cal2,NA,NA,NA,NA,5,0.112,1
80,Cal2,NA,NA,NA,NA,5,0.1086,3.87
80,Cal2,NA,NA,NA,NA,5,0.1161,4.45
90,Cal3,NA,NA,NA,NA,2,5e-4,999.99
90,Cal3,NA,NA,NA,NA,2,-0.0025,17.26
90,Cal3,NA,NA,NA,NA,2,-0.0012,999.99
