sample_key,site,analyst,conc_dil_error,conc_blanked,conc_blanked_error,conc_unblanked,conc_unblanked_error
10,F,CYT,NA,219.21672175286716,NA,106.63983332667934,NA
12,F,DJHR,NA,754.6415099718976,NA,656.4960853049638,NA
13,QC,DJHR,269.4442445512425,4087.046306373827,776392.3345151291,4020.546382058187,784156.2436687702
14,D,CAG,1029.480360967617,1333.2285570190065,3417452.9522713944,1222.8645505975417,3451627.477587749
15,QC,CAG,196.57567664668647,4959.113723839169,659698.6536517037,4883.653621079474,666295.6176431214
16,F,JHV,880.3539878123701,1351.7117306292018,2630015.9012067737,1253.908836805788,2656316.0557843754
17,QC,JHV,255.88730215795152,5515.627497143904,755771.1325223704,5460.727764787518,763328.8284631014
18,D,SJB,397.3878932351938,1067.6092628410013,1153706.7964509528,970.1038504599431,1165243.8548799574
19,QC,SJB,290.62696835998867,5567.318144693736,854785.2230511352,5513.395683810821,863333.0617880329
21,D,MD,1654.7943576278142,521.6359930184175,5251314.92259509,408.6036908765335,5303828.069326236
22,E,SEP,355.8697554441286,2013.206038500174,978641.8384806293,1930.866173306763,988428.2467228165
23,QC,SEP,333.83972344399297,5592.021651394119,1399781.8146187998,5491.7010400009585,1413779.6161108254
24,C,SGB,296.55813068857225,5005.8342079375725,865633.4121064879,4947.125745634926,874289.7331220043
26,C,AWB,693.0987125348314,2463.446332380207,1948838.59574215,2383.3069265894624,1968326.9763587897
27,QC,AWB,151.66830443747992,5050.055694661768,417726.4700076012,4997.927433699146,421903.71047221415
38,C,GB,542.277721668533,3512.0162927494725,1792416.6208028153,3423.970863054008,1810340.7789993384
39,QC,GB,170.3091001493566,4569.38882495919,492729.2021145965,4507.276790124896,497656.471583648
40,B,AB,377.05247879085556,1746.6311197020143,1225947.7251751148,1642.9421493534821,1238207.191160529
41,B,LF,138.95866883745617,1892.4607681420955,428678.998031571,1796.4327928628834,432965.75893519825
44,QC,KAD,202.50684034876673,7099.838331599232,649143.6452126278,7051.3902525734175,655635.0605863475
45,B,KAD,201.65952943829686,1941.1077506200022,589264.8789644508,1851.634845811478,595157.5087622253
46,A,LML,344.0074304536012,2690.2586892338054,938354.8507813625,2615.5196796593323,947738.3888359803
47,QC,LML,115.23402282292953,6273.449818258159,320266.2911439023,6232.6217931975,323468.9216403455
48,A,AH,391.45673099367684,3613.8743008955657,1140443.9555381339,3541.454906988724,1151848.3852498597
51,C,LG,172.8510256984491,1049.6984658298372,517242.75163805793,948.6903748366689,522415.1565640341
52,B,MF,350.78590179398566,778.2155756059303,433039.3203319002,739.9977772395906,437369.7087168526
53,QC,MF,386.37287818182875,3084.93706857382,534066.5799451716,3064.280068021351,539407.2404882659
54,A,LAK,280.4592601742342,1721.8696911121217,736355.1433922512,1641.2544047159897,743718.6825285307
56,A,AVM,454.1575920794042,2134.281663765972,1388319.1526673997,2041.7162940991732,1402202.3353747993
57,QC,AVM,289.77965964832276,6144.065212970376,859766.9314145348,6094.949174413276,868364.5870433137
58,B,SS,237.24650463265684,2189.2812812722364,656315.6094758746,2108.0915560607195,662878.7502402287
59,QC,SS,89.81475645491629,6061.984721776183,246762.92360237194,6020.227127269459,249230.51174406093
6,C,MRMJ,615.9935991796134,2550.5641850422257,1846872.6810655212,2464.3493040299154,1865341.4014800384
8,E,ARG,NA,917.4647784047906,NA,805.8376418662355,NA
