sample_key,metal,site,analyst,conc_dil_error,conc_blanked,conc_blanked_error,conc_unblanked,conc_unblanked_error
10,As75,F,CYT,1.7780891297789851,910.9278953562339,5479.189320872383,1067.7083500765434,5531.352562420031
10,Cd111,F,CYT,268.90880025651524,40.43774136352632,828242.706025127,56.73372712921264,836525.1329046747
10,Cd114,F,CYT,4.983305898528496,38.44848652692683,15348.662953477717,59.258771147895104,15502.135443420406
10,Cr52,F,CYT,2.6127021998185596,3076.540378016769,8049.35068790991,4771.884853906358,8128.293347300827
10,Cr53,F,CYT,12.329907520952107,3115.6772872707725,37976.84801584825,4835.503194930355,38356.18756660804
10,Pb208,F,CYT,7.420336059890048,26011.624780334238,22974.6878144004,27686.978095487815,23091.15139503598
12,As75,F,DJHR,74.03621131548947,3911.4912185048192,209997.24690403248,4086.59782426748,212097.16233991782
12,Cd111,F,DJHR,162.36560953100528,90.98595577278901,460535.70013549086,106.5305382021025,465141.0568622589
12,Cd114,F,DJHR,21.30578834586624,110.11435739698518,60431.98849012046,130.02580086212845,61036.305342975254
12,Cr52,F,DJHR,2.671212283471296,12428.224998870292,7583.905823194466,14085.432858306096,7659.450267087869
12,Cr53,F,DJHR,19.486168645405947,12692.099602383498,55271.880701581525,14374.13095992191,55824.50642203035
12,Pb208,F,DJHR,6.145648819329892,111457.40770960062,17747.86876416454,113875.28613572389,17804.484963689112
13,As75,QC,DJHR,251.44594774649318,13090.340477955939,724531.0573130299,13359.395331816555,731776.3517691821
13,Cd111,QC,DJHR,147.86183901703842,2280.432766451322,426057.7049971845,2318.104238706952,430318.2817822488
13,Cd114,QC,DJHR,20.603794913962187,2488.885407524736,59369.00427865903,2532.8832977421926,59962.691551188625
13,Cr52,QC,DJHR,9.450459083932548,53277.280011374365,27259.844552970168,55367.32361757389,27533.617718273144
13,Cr53,QC,DJHR,47.794964307064056,54469.665043577006,137725.15299001307,56594.16957986422,139102.62458169195
13,Pb208,QC,DJHR,96.68712853164429,1164838.4165273062,279925.39019784355,1177810.8035024202,282719.4596843884
14,As75,D,CAG,30.123521671110336,2390.955219767439,99997.92610711741,2574.02245409417,100997.73887551458
14,Cd111,D,CAG,55.018814977524286,148.54935602144258,182639.92162259488,167.16257635353756,184466.31989051568
14,Cd114,D,CAG,11.059194073815783,242.45806908347296,36711.9997317784,266.89725707915,37079.11290827155
14,Cr52,D,CAG,1.2465048951670479,16153.417596258452,4154.8326252868865,18109.009044819308,4194.984385940803
14,Cr53,D,CAG,8.998924855112937,16711.015300579136,29875.368183562812,18698.14661871794,30173.796216208273
14,Pb208,D,CAG,5.614569540731396,147797.09347487727,19030.497087260763,150800.38477179589,19065.382007633256
15,As75,QC,CAG,14.642527543981934,15278.562196925002,49140.9258104253,15592.248887026535,49632.00571073098
15,Cd111,QC,CAG,24.421414367873794,2560.3277825820346,81957.12365655019,2603.246401366633,82776.69293769867
15,Cd114,QC,CAG,1.7334530149337033,2824.0722599990777,5817.705013906361,2874.5687341435623,5875.842034284479
15,Cr52,QC,CAG,2.9070701595625215,61923.11590513869,9836.42304115045,64356.05613302083,9937.55891848872
15,Cr53,QC,CAG,9.78283127685051,63880.291666843004,32856.35158719129,66359.05194891088,33185.668762307796
15,Pb208,QC,CAG,8.99035241120409,1364533.9342440965,40791.053879025734,1379721.3020468291,41143.560834089396
16,As75,F,JHV,6.419096715546534,5690.611750907304,19177.868714756696,5890.751223763681,19368.958934922197
16,Cd111,F,JHV,95.82238701491708,119.00562155597454,286264.84918073216,135.6097108373026,289127.49718284747
16,Cd114,F,JHV,21.25039744492069,147.9890292353221,63484.5604711749,169.28088228526937,64119.40287715988
16,Cr52,F,JHV,5.036936499408536,18818.20280082464,15054.398809707793,20620.939900269,15205.012399000354
16,Cr53,F,JHV,20.21386236825416,19085.232627099478,60389.75135084342,20914.006131901646,60993.6130748005
16,Pb208,F,JHV,13.985063597853689,157000.54330151726,41983.59876602328,159943.25503768155,42347.3697695873
17,As75,QC,JHV,49.24145050662085,15378.077281255446,145436.64921875813,15673.465039602028,146890.93168084987
17,Cd111,QC,JHV,53.55645006423749,2607.323304019669,158180.65293983126,2648.6355486160273,159762.45872181508
17,Cd114,QC,JHV,5.4379263690291015,2771.9727692779843,16061.215502727197,2819.2795011068656,16221.816885569371
17,Cr52,QC,JHV,7.832687355773977,62357.21231767028,23176.280787003358,64577.00674598234,23409.58009232088
17,Cr53,QC,JHV,38.1306583323706,64313.09322588335,112629.33696182497,66575.54725555718,113755.93515554891
17,Pb208,QC,JHV,15.502416517447038,1348224.4714000772,54785.1659139314,1363063.835767815,55305.680276722436
18,As75,D,SJB,85.03260807600824,2613.9519049652895,246868.9205665722,2779.2865228276173,249337.55844883624
18,Cd111,D,SJB,415.79748643468673,118.88957721230167,1207153.9929871294,135.0579297631129,1219225.5328073504
